w/v,总时延 (s),总能耗 (J)
0.5,123343.64876798411,173.3639396037754
1.0,123343.64876798411,173.3639396037754
1.5,123343.64876798411,173.3639396037754
2.0,123343.64876798411,173.3639396037754
2.5,123343.64876798411,173.3639396037754
3.0,123343.64876798411,173.3639396037754
3.5,123343.65802783605,173.363953151431
4.0,123343.64876798411,173.3639396037754
4.5,123343.64876798411,173.3639396037754
5.0,123343.63950813217,173.36392605611988
