step,reward
0,-21792.75761873404
1,-41768.995884284544
2,-31780.87789848865
3,-25788.004808279187
4,-21792.75761873404
5,-18939.009294230866
6,-16798.697472866854
7,-15134.011532245911
8,-13802.262080731363
9,-12712.649630656046
10,-11804.637330063068
