指标,设备1,设备2,设备3
公共任务比例,0.2222,0.2222,0.2222
带宽分配 (MHz),3.33,3.33,3.33
下行功率 (mW),33.33,33.33,33.33
总时延 (s),120.927062,-,-
总能耗 (J),5.1869828518,-,-
